LOCATION,TIME,Value_MLN_USD,Value_USD_CAP,
alb,1997,8555.927,2726.202207,
alb,1998,9451.507,3030.63647,
alb,1999,10792.634,3482.728286,
alb,2000,11926.2,3874.176721,
alb,2001,13157.36,4299.547816,
alb,2002,14221.925,4661.382534,
alb,2003,15198.213,5000.043736,
alb,2004,16429.396,5427.726023,
alb,2005,17663.352,5865.325526,
alb,2006,19650.703,6566.547913,
alb,2007,21631.653,7283.343247,
alb,2008,24251.628,8228.383017,
alb,2009,25800.372,8813.050063,
alb,2010,28048.719,9628.739118,
alb,2011,29655.634,10207.794705,
alb,2012,30530.351,10526.251582,
alb,2013,30604.055,10571.013068,
alb,2014,32529.2,11259.269313,
alb,2015,33585.664,11658.842853,
alb,2016,34740.026,12078.86146,
alb,2017,36696.921,12771.000645,
alb,2018,38690.94,13498.208259,
alb,2019,39952.812,13997.946197,
alb,2020,37836.489,13332.805644,
arg,2004,470169.433,12299.728803,
arg,2005,527729.109,13674.572695,
arg,2006,587451.577,15074.069861,
arg,2007,657569.211,16708.232833,
arg,2008,697557.859,17550.391451,
arg,2009,661275.817,16476.698479,
arg,2010,736718.361,18061.934358,
arg,2011,797263.882,19322.22713,
arg,2012,819697.902,19641.352863,
arg,2013,849616,20131.680421,
arg,2014,839896.688,19683.771502,
arg,2015,867176.759,20105.198994,
arg,2016,885227.529,20307.870053,
arg,2017,1039330.592,23597.117759,
arg,2018,1036428.172,23293.398637,
arg,2019,1033557.798,22999.275057,
arg,2020,942157.353,null,
aus,1960,25073.26,2412.764873,
aus,1961,25364.881,2383.322879,
aus,1962,27955.357,2577.466847,
aus,1963,30432.979,2752.750121,
aus,1964,32745.289,2902.84077,
aus,1965,34542.337,3002.269627,
aus,1966,38344.554,3275.956286,
aus,1967,41068.684,3447.600076,
aus,1968,46560.927,3833.569009,
aus,1969,52215.402,4208.470157,
aus,1970,58858.348,4647.884995,
aus,1971,64135.621,4859.355514,
aus,1972,69807.498,5205.906397,
aus,1973,78843.21,5791.18689,
aus,1974,86323.114,6240.836577,
aus,1975,96857.536,6933.807827,
aus,1976,104288.925,7391.079675,
aus,1977,110276.099,7721.586926,
aus,1978,123342.206,8547.13182,
aus,1979,137980.996,9449.147412,
aus,1980,155037.413,10470.286937,
aus,1981,178292.325,11947.245259,
aus,1982,181931.974,11981.66345,
aus,1983,196533.518,12767.30554,
aus,1984,211772.911,13593.136482,
aus,1985,228924.227,14499.612185,
aus,1986,240015.947,14983.765347,
aus,1987,260935.759,16043.861476,
aus,1988,282917.818,17113.13789,
aus,1989,299621.594,17819.344946,
aus,1990,304183.457,17824.885721,
aus,1991,313970.385,18165.377494,
aus,1992,334473.269,19136.159001,
aus,1993,355559.8,20162.394808,
aus,1994,380993.407,21397.512383,
aus,1995,403410.089,22405.572327,
aus,1996,424062.042,23268.405809,
aus,1997,450299.854,24442.265328,
aus,1998,477686.538,25671.582448,
aus,1999,510213.964,27121.296361,
aus,2000,538603.652,28304.656736,
aus,2001,569787.095,29561.398865,
aus,2002,600460.974,30800.452131,
aus,2003,638022.66,32352.941829,
aus,2004,676954.659,33962.015143,
aus,2005,719149.954,35642.418706,
aus,2006,774966.901,37893.838998,
aus,2007,825988.747,39658.373846,
aus,2008,852201.51,40105.110301,
aus,2009,903166.382,41636.496066,
aus,2010,943179.751,42809.92706,
aus,2011,992556.359,44429.559507,
aus,2012,997622.794,43883.378891,
aus,2013,1104642.029,47761.901259,
aus,2014,1117534.426,47603.880878,
aus,2015,1124892.295,47232.62912,
aus,2016,1213189.412,50150.652199,
aus,2017,1247296.036,50699.175108,
aus,2018,1323601.791,52980.734327,
aus,2019,1335998.074,52669.473903,
aus,2020,1429458.63,55635.462558,
aus,2021,1586289.004,61631.9388,
aut,1970,28577.921,3827.4696,
aut,1971,31561.883,4207.954197,
aut,1972,34970.238,4635.794493,
aut,1973,38689.323,5100.415556,
aut,1974,43833.971,5768.748958,
aut,1975,47720.619,6296.822115,
aut,1976,52651.247,6959.364576,
aut,1977,58763.524,7764.295103,
aut,1978,62764.355,8299.632824,
aut,1979,71612.672,9485.84459,
aut,1980,79433.469,10521.779488,
aut,1981,86824.116,11471.454965,
aut,1982,94042.484,12416.259069,
aut,1983,100631.405,13307.67029,
aut,1984,104315.35,13795.709885,
aut,1985,110303.201,14580.758004,
aut,1986,115114.232,15207.04947,
aut,1987,119561.715,15784.587381,
aut,1988,127858.773,16856.088262,
aut,1989,138036.086,18116.00377,
aut,1990,149426.332,19462.00202,
aut,1991,159796.186,20605.858411,
aut,1992,166859.41,21281.163537,
aut,1993,171714.41,21720.516419,
aut,1994,179594.108,22629.969517,
aut,1995,188252.033,23684.631137,
aut,1996,195424.463,24553.847293,
aut,1997,202601.148,25426.720108,
aut,1998,212781.09,26675.030467,
aut,1999,220639.939,27606.484243,
aut,2000,235347.82,29376.007114,
aut,2001,238878.519,29702.787329,
aut,2002,251984.784,31178.051444,
aut,2003,261057.076,32156.836376,
aut,2004,275998.472,33784.254235,
aut,2005,288086.722,35024.557484,
aut,2006,311414.93,37665.32274,
aut,2007,327096.286,39432.047401,
aut,2008,343812.976,41316.022642,
aut,2009,341392.998,40927.134687,
aut,2010,351341.77,42021.154209,
aut,2011,373031.477,44469.209642,
aut,2012,391635.176,46477.655075,
aut,2013,406370.245,47936.677963,
aut,2014,417059.519,48813.534409,
aut,2015,430975.924,49942.056293,
aut,2016,460282.647,52665.087457,
aut,2017,476590.588,54188.360666,
aut,2018,503557.209,56978.264771,
aut,2019,515713.228,58091.272285,
aut,2020,496544.035,55686.067736,
aut,2021,522437.517,58338.848817,
bel,1970,37289.172,3874.078284,
bel,1971,40649.836,4207.946256,
bel,1972,44635.79,4603.427342,
bel,1973,49964.28,5137.625399,
bel,1974,56747.551,5817.200595,
bel,1975,61181.064,6254.392799,
bel,1976,68196.836,6960.228896,
bel,1977,72887.694,7430.650778,
bel,1978,80231.592,8172.679401,
bel,1979,88922.155,9051.485878,
bel,1980,101297.641,10300.72909,
bel,1981,110572.894,11235.921327,
bel,1982,118102.924,11991.353912,
bel,1983,123111.483,12493.55416,
bel,1984,130698.926,13262.194417,
bel,1985,137059.36,13904.774282,
bel,1986,142368.179,14440.427947,
bel,1987,149253.827,15121.968238,
bel,1988,161816.877,16338.53763,
bel,1989,173994.436,17504.470426,
bel,1990,186170.871,18676.853014,
bel,1991,195994.783,19587.725699,
bel,1992,203529.702,20257.758736,
bel,1993,206349.944,20459.046642,
bel,1994,217557.44,21506.271256,
bel,1995,227416.409,22434.291135,
bel,1996,230946.081,22737.627302,
bel,1997,241624.086,23732.844169,
bel,1998,248636.249,24368.935554,
bel,1999,260168.781,25441.891387,
bel,2000,284826.571,27785.247413,
bel,2001,296130.583,28786.875003,
bel,2002,312900.475,30281.667989,
bel,2003,320963.526,30933.261931,
bel,2004,334133.78,32063.504441,
bel,2005,347658.439,33176.680884,
bel,2006,371912.513,35259.055109,
bel,2007,390932.181,36790.154396,
bel,2008,405729.43,37883.233422,
bel,2009,407562.442,37751.245094,
bel,2010,434081.06,39838.570162,
bel,2011,451932.625,40943.343479,
bel,2012,469720.336,42290.477674,
bel,2013,487343.796,43672.712292,
bel,2014,503619.623,44929.933328,
bel,2015,520877.807,46201.685891,
bel,2016,550677.566,48599.202676,
bel,2017,573788.528,50442.947518,
bel,2018,600323.292,52535.511671,
bel,2019,623602.985,54278.264883,
bel,2020,612655.559,53071.34083,
bel,2021,682884.413,58925.223286,
bgr,1995,65053.552,7738.881004,
bgr,1996,57259.837,6846.948294,
bgr,1997,47798.112,5750.447674,
bgr,1998,51007.985,6177.704637,
bgr,1999,47685.843,5807.821986,
bgr,2000,52468.821,6421.997158,
bgr,2001,55735.482,7043.265766,
bgr,2002,61023.358,7755.004951,
bgr,2003,65444.769,8365.091352,
bgr,2004,71006.671,9125.459624,
bgr,2005,78822.132,10183.869594,
bgr,2006,86713.017,11262.864295,
bgr,2007,96666.061,12619.979057,
bgr,2008,107411.69,14089.744766,
bgr,2009,105571.004,13918.151682,
bgr,2010,110612.416,14681.201597,
bgr,2011,115715.049,15747.126258,
bgr,2012,119289.523,16327.860944,
bgr,2013,120943.013,16647.088576,
bgr,2014,127263.542,17616.923077,
bgr,2015,132016.425,18391.834891,
bgr,2016,143086.786,20074.406431,
bgr,2017,151920.581,21470.001359,
bgr,2018,161688.343,23016.014654,
bgr,2019,170888.635,24497.491636,
bgr,2020,170328.984,24564.265224,
bgr,2021,184243.571,26743.19788,
bra,1995,1310047.926,null,
bra,1996,1363501.491,null,
bra,1997,1434999.66,null,
bra,1998,1456057.184,null,
bra,1999,1483991.6,null,
bra,2000,1583738.375,9114.216086,
bra,2001,1640971.6,9312.662215,
bra,2002,1717826.876,9623.720143,
bra,2003,1769689.978,9793.072855,
bra,2004,1922011.56,10510.546622,
bra,2005,2045343.569,11056.440519,
bra,2006,2190728.409,11711.266725,
bra,2007,2386123.99,12622.438913,
bra,2008,2556455.423,13383.86344,
bra,2009,2572703.676,13331.389838,
bra,2010,2798617.943,14359.937144,
bra,2011,2970630.763,15109.737403,
bra,2012,2998534.425,15120.063649,
bra,2013,3133893.65,15669.140139,
bra,2014,3187155.079,15800.088894,
bra,2015,3014754.849,14816.290598,
bra,2016,2939094.21,14326.10209,
bra,2017,3018705.989,14596.889676,
bra,2018,3146320.981,15090.63762,
bra,2019,3239834.409,15416.981836,
can,1961,44376.883,null,
can,1962,48656.247,null,
can,1963,52000.483,null,
can,1964,56477.8,null,
can,1965,61893.966,null,
can,1966,68329.4,null,
can,1967,72469.718,null,
can,1968,80115.42,null,
can,1969,88783.769,null,
can,1970,99531.471,4590.894787,
can,1971,108728.861,4950.765082,
can,1972,119678.511,5386.444197,
can,1973,134865.972,5996.234615,
can,1974,151824.296,6656.633762,
can,1975,168311.191,7272.57446,
can,1976,188012.922,8017.674279,
can,1977,206560.673,8706.146837,
can,1978,229233.664,9566.069449,
can,1979,257465.225,10638.380124,
can,1980,286773.326,11697.55349,
can,1981,324813.802,13086.821695,
can,1982,333889.388,13293.393286,
can,1983,355992.913,14034.005498,
can,1984,390628.604,15254.727065,
can,1985,422072.898,16332.753021,
can,1986,439808.702,16850.728641,
can,1987,469040.522,17735.380147,
can,1988,507000.423,18923.753758,
can,1989,539084.222,19763.483902,
can,1990,560184.877,20229.752821,
can,1991,567047.864,20224.680598,
can,1992,585191.62,20626.208981,
can,1993,615002.847,21440.052546,
can,1994,656367.112,22632.831273,
can,1995,688183.628,23485.643444,
can,1996,712130.958,24050.176142,
can,1997,755416.033,25259.725362,
can,1998,793682.05,26319.930258,
can,1999,846421.343,27841.629576,
can,2000,901003.29,29362.289573,
can,2001,937793.044,30231.005032,
can,2002,971009.088,30963.222007,
can,2003,1023686.549,32350.070882,
can,2004,1083615.23,33925.89256,
can,2005,1171340.162,36327.662059,
can,2006,1241618.911,38120.176792,
can,2007,1301593.852,39575.324973,
can,2008,1342396.613,40376.330167,
can,2009,1307000.658,38865.406022,
can,2010,1363578.975,40099.497886,
can,2011,1430807.125,41666.718851,
can,2012,1468094.965,42290.879082,
can,2013,1554122.745,44298.514462,
can,2014,1621396.709,45753.782936,
can,2015,1594850.842,44670.054374,
can,2016,1678093.396,46472.368771,
can,2017,1765763.154,48317.191163,
can,2018,1849252.231,49892.028612,
can,2019,1853244.739,49286.811601,
can,2020,1771474.029,46572.141022,
can,2021,1989623.608,52021.596768,
che,1970,46165.339,7366.417513,
che,1971,50482.353,7958.382636,
che,1972,54350.114,8490.389088,
che,1973,59076.9,9171.805232,
che,1974,65329.91,10113.001637,
che,1975,66182.348,10335.305919,
che,1976,68844.508,10870.220325,
che,1977,74901.609,11858.23009,
che,1978,80498.021,12711.750005,
che,1979,89348.603,14068.785055,
che,1980,101902.755,15959.138587,
che,1981,113331.15,17627.654208,
che,1982,118757.391,18362.925463,
che,1983,124197.543,19160.447719,
che,1984,132549.454,20376.085794,
che,1985,141764.58,21698.701179,
che,1986,147307.527,22411.197982,
che,1987,153343.444,23167.119819,
che,1988,163955.778,24575.41688,
che,1989,177762.37,26440.764461,
che,1990,191193.223,28132.04439,
che,1991,195848.726,28466.020466,
che,1992,200224.343,28837.909228,
che,1993,204712.111,29291.210462,
che,1994,211738.437,30089.937536,
che,1995,217217.91,30594.678443,
che,1996,223004.403,31267.730109,
che,1997,232310.94,32477.540139,
che,1998,241065.459,33589.659906,
che,1999,248739.984,34476.513265,
che,2000,264184.257,36426.125454,
che,2001,273987.599,37591.821675,
che,2002,282753.058,38519.185231,
che,2003,285053.342,38551.705241,
che,2004,298070.887,40044.485897,
che,2005,310493.747,41467.497321,
che,2006,348024.929,46191.595599,
che,2007,386678.284,50866.412763,
che,2008,413714.827,53784.37338,
che,2009,413164.465,53111.530359,
che,2010,429262.295,54767.96782,
che,2011,458820.075,57987.486864,
che,2012,479280.805,59933.617056,
che,2013,503360.433,62225.11235,
che,2014,524917.015,64103.009758,
che,2015,546805.519,66020.20952,
che,2016,570267.342,68105.138178,
che,2017,584052.298,69103.567686,
che,2018,610138.727,71660.23286,
che,2019,617711.279,72033.948683,
che,2020,619632.541,71731.951611,
che,2021,672543.589,77235.961977,
chl,1986,41544.065,3372.769238,
chl,1987,45378.646,3620.786371,
chl,1988,50414.136,3954.628308,
chl,1989,57923.108,4468.18377,
