Location,Time,PopMale,PopFemale,PopTotal,PopDensity
afg,1998,10184.272,9553.498,19737.77,30.233
afg,1999,10386.589,9784.258,20170.847,30.896
afg,2000,10689.508,10090.449,20779.957,31.829
afg,2001,11117.754,10489.238,21606.992,33.096
afg,2002,11642.106,10958.668,22600.774,34.618
afg,2003,12214.634,11466.237,23680.871,36.273
afg,2004,12763.726,11962.963,24726.689,37.874
afg,2005,13239.684,12414.59,25654.274,39.295
afg,2006,13623.896,12809.162,26433.058,40.488
afg,2007,13938.97,13161.572,27100.542,41.51
afg,2008,14225.725,13496.556,27722.281,42.463
afg,2009,14544.055,13850.751,28394.806,43.493
afg,2010,14935.756,14249.755,29185.511,44.704
afg,2011,15415.361,14702.05,30117.411,46.131
afg,2012,15964.874,15196.504,31161.378,47.731
afg,2013,16554.278,15715.314,32269.592,49.428
afg,2014,17138.803,16232.001,33370.804,51.115
afg,2015,17686.166,16727.437,34413.603,52.712
afg,2016,18186.994,17196.034,35383.028,54.197
afg,2017,18651.985,17644.126,36296.111,55.596
afg,2018,19093.043,18078.879,37171.922,56.937
afg,2019,19529.727,18512.03,38041.757,58.269
afg,2020,19976.265,18952.076,38928.341,59.627
afg,2021,20434.981,19400.447,39835.428,61.017
afg,2022,20900.542,19853.843,40754.385,62.424
alb,1998,1555.189,1555.51,3110.699,113.529
alb,1999,1572.74,1549.96,3122.7,113.967
alb,2000,1583.506,1545.74,3129.246,114.206
alb,2001,1586.178,1543.523,3129.701,114.223
alb,2002,1582.936,1543.247,3126.183,114.094
alb,2003,1574.841,1543.176,3118.017,113.796
alb,2004,1563.966,1540.927,3104.893,113.317
alb,2005,1551.975,1534.835,3086.81,112.657
alb,2006,1538.721,1524.3,3063.021,111.789
alb,2007,1523.893,1510.1,3033.993,110.73
alb,2008,1508.919,1493.764,3002.683,109.587
alb,2009,1495.558,1477.486,2973.044,108.505
alb,2010,1485.068,1462.961,2948.029,107.592
alb,2011,1478.059,1450.542,2928.601,106.883
alb,2012,1474.211,1439.88,2914.091,106.354
alb,2013,1472.67,1431.118,2903.788,105.978
alb,2014,1472.095,1424.212,2896.307,105.705
alb,2015,1471.456,1419.068,2890.524,105.494
alb,2016,1470.548,1415.879,2886.427,105.344
alb,2017,1469.588,1414.581,2884.169,105.262
alb,2018,1468.376,1414.359,2882.735,105.209
alb,2019,1466.785,1414.128,2880.913,105.143
alb,2020,1464.714,1413.086,2877.8,105.029
alb,2021,1462.011,1410.923,2872.934,104.852
